Rotation
Line A: Structure Position, Actual Response - Global RX (15MW-Semi-sub) [°]
Line B: Structure Position, Actual Response - Global RY (15MW-Semi-sub) [°]
Line C: Structure Position, Actual Response - Global RZ (15MW-Semi-sub) [°]

*Time (s),Line A (°),Line B (°),Line C (°)
36.2,8.46115872263908E-02,0.162691757082939,0.110170491039753
36.3,0.084051713347435,0.161035671830177,0.102690286934376
36.4,8.33753123879433E-02,0.15900744497776,9.56733375787735E-02
36.5,8.25918614864349E-02,0.156631663441658,8.91610980033875E-02
36.6,8.17238762974739E-02,0.153928995132446,8.31917375326157E-02
36.7,8.07777941226959E-02,0.150928512215614,7.78014734387398E-02
36.8,7.97701552510262E-02,0.14765864610672,7.30178281664848E-02
36.9,7.87274837493896E-02,0.144148379564285,6.88525661826134E-02
37,7.76626467704773E-02,0.14042891561985,6.53240382671356E-02
37.1,7.65961110591888E-02,0.13652665913105,6.24160431325436E-02
37.2,0.075539842247963,0.132478773593903,6.01290315389633E-02
37.3,7.45109543204308E-02,0.128321126103401,5.84453754127026E-02
37.4,7.35222399234772E-02,0.124089770019054,5.73396570980549E-02
37.5,7.25907683372498E-02,0.119815021753311,5.67722916603088E-02
37.6,7.17264339327812E-02,0.115529425442219,5.67196309566498E-02
37.7,7.09333270788193E-02,0.111272625625134,5.71430511772633E-02
37.8,7.02307820320129E-02,0.107071705162525,5.79894334077835E-02
37.9,6.96238577365875E-02,0.102959260344505,5.92205971479416E-02
38,6.91108703613281E-02,9.89639163017273E-02,6.07901997864246E-02
38.1,6.87089413404465E-02,9.51142534613609E-02,6.26497343182564E-02
38.2,6.84112161397934E-02,9.14311781525612E-02,6.47493973374367E-02
38.3,6.82245492935181E-02,8.79415944218636E-02,6.70447871088982E-02
38.4,6.81506991386414E-02,8.46634581685066E-02,6.94819688796997E-02
38.5,6.81828632950783E-02,0.081613264977932,7.20080137252808E-02
38.6,6.83073848485947E-02,7.88039788603783E-02,0.074568897485733
38.7,6.85380101203918E-02,7.62502551078796E-02,7.71128088235855E-02
38.8,6.88542127609253E-02,7.39544406533241E-02,7.95789137482643E-02
38.9,6.92629143595695E-02,7.19295665621758E-02,8.19238796830177E-02
39,6.97385370731354E-02,7.01769515872002E-02,8.40870663523674E-02
39.1,7.02715516090393E-02,6.86931610107422E-02,0.086016409099102
39.2,7.08494111895561E-02,6.74730911850929E-02,8.76589193940163E-02
